,Name,Street name,Street number,Neighborhood name,District name,Zip code,Latitud,Longitud
0,"Pl Revolució de Setembre 1868, 16",Pl Revolució de Setembre 1868,16,la Vila de Gràcia,Gràcia,8012,41.4025321086596,2.15823805255712
1,"Ctra Bordeta, 35",Ctra Bordeta,35,Hostafrancs,Sants-Montjuïc,8014,41.3732314775216,2.1448161096124
2,"Pl Sanllehy, 9999",Pl Sanllehy,1,la Salut,Gràcia,8024,41.413905296804,2.16130314178614
3,"C Guillem Tell, 51",C Guillem Tell,51,el Putxet i el Farró,Sarrià-Sant Gervasi,8006,41.4017230156453,2.1475889483489
4,"C Bac de Roda, 35",C Bac de Roda,35,el Poblenou,Sant Martí,8005,41.4034351995293,2.20925817454444
5,"C Girona, 69",C Girona,69,la Dreta de l'Eixample,Eixample,8009,41.3947340032481,2.17135378724472
6,"C Mèxic, 46",C Mèxic,46,la Font de la Guatlla,Sants-Montjuïc,8004,41.371532934444,2.15000931837786
7,"Av Rasos de Peguera, 172",Av Rasos de Peguera,172,Ciutat Meridiana,Nou Barris,8033,41.4607904127719,2.1743324896478
8,"C Cartagena, 319",C Cartagena,319,la Sagrada Família,Eixample,8025,41.4108806080829,2.17463741780605
9,"C Mallorca, 423",C Mallorca,423,la Sagrada Família,Eixample,8013,41.404864941124,2.1771286852511
10,"C Provença, 467",C Provença,467,la Sagrada Família,Eixample,8025,41.4057031592502,2.175989542023
11,"C Josep Estivill, 6",C Josep Estivill,6,Navas,Sant Andreu,8027,41.4165334784528,2.18610719478144
12,"Pl Taxi, 1",Pl Taxi,1,Navas,Sant Andreu,8041,41.4163089431082,2.18055834340194
13,"C Jordi Girona, 29",C Jordi Girona,29,Pedralbes,Les Corts,8034,41.3878891585339,2.11470174629405
14,"C Dolors Masferrer i Bosch, 15",C Dolors Masferrer i Bosch,15,les Corts,Les Corts,8028,41.3850577539421,2.12834615229645
15,"C Numància, 153",C Numància,153,les Corts,Les Corts,8029,41.38857838131,2.13367485135434
16,"C Pere IV, 340",C Pere IV,340,Provençals del Poblenou,Sant Martí,8019,41.4088799578527,2.20238636492413
17,"C Pere IV, 325",C Pere IV,325,Provençals del Poblenou,Sant Martí,8020,41.4108777900643,2.20381040220155
18,"C Perú, 214",C Perú,214,Provençals del Poblenou,Sant Martí,8020,41.4140321232999,2.20370600196173
19,"Rbla Poblenou, 137",Rbla Poblenou,137,el Poblenou,Sant Martí,8018,41.4051453366525,2.1957564365803
20,"Rbla Poblenou, 162",Rbla Poblenou,162,Provençals del Poblenou,Sant Martí,8018,41.4069868678119,2.19347561339996
21,"C Pont del Treball Digne, 15",C Pont del Treball Digne,15,Sant Martí de Provençals,Sant Martí,8020,41.4222106414878,2.1958214153775
22,"C Pujades, 57",C Pujades,57,el Parc i la Llacuna del Poblenou,Sant Martí,8005,41.3957275850766,2.19248862728785
23,"C Tuset, 13",C Tuset,13,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,8006,41.3960087182596,2.15174199625309
24,"C Roc Boronat, 97",C Roc Boronat,97,el Parc i la Llacuna del Poblenou,Sant Martí,8018,41.4013707343911,2.19622505718871
25,"C Sardenya, 253",C Sardenya,253,la Sagrada Família,Eixample,8013,41.4013486412886,2.17611171529504
26,"C Nicaragua, 153",C Nicaragua,153,les Corts,Les Corts,8029,41.387244870032,2.1363803498996
27,"Av Diagonal, 582",Av Diagonal,582,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,8021,41.3937903730282,2.14756995453133
28,"C Viladomat, 52",C Viladomat,52,Sant Antoni,Eixample,8015,41.3774097101014,2.16043421006275
29,"C Provença, 175",C Provença,175,l'Antiga Esquerra de l'Eixample,Eixample,8036,41.3906164207813,2.15590088417261
30,"C Mallorca, 41",C Mallorca,41,la Nova Esquerra de l'Eixample,Eixample,8029,41.3834127392845,2.14860487374209
31,"C Consell de Cent, 128",C Consell de Cent,128,la Nova Esquerra de l'Eixample,Eixample,8015,41.3816292215712,2.15321974056508
32,"C Entença, 88",C Entença,88,la Nova Esquerra de l'Eixample,Eixample,8015,41.3797522761871,2.15074295795364
33,"C Mare de Déu del Remei, 47",C Mare de Déu del Remei,47,el Poble-sec,Sants-Montjuïc,8004,41.3729266929979,2.15619359265376
34,"C Mare de Déu del Remei, 5",C Mare de Déu del Remei,5,el Poble-sec,Sants-Montjuïc,8004,41.3729549524987,2.15887481648338
35,"C Eduardo Conde, 15",C Eduardo Conde,15,Sarrià,Sarrià-Sant Gervasi,8034,41.3927233359536,2.12166577205825
36,"C Rosselló, 109",C Rosselló,109,la Nova Esquerra de l'Eixample,Eixample,8029,41.3875514807167,2.14956146489716
37,"C Aragó, 119",C Aragó,119,la Nova Esquerra de l'Eixample,Eixample,8015,41.3834358090024,2.15314443325249
38,"G.V. Corts Catalanes, 582",G.V. Corts Catalanes,582,Sant Antoni,Eixample,8011,41.384928773429,2.16252852076679
39,"C Emília Coranty, 11",C Emília Coranty,11,Provençals del Poblenou,Sant Martí,8018,41.4083890726949,2.19942821876133
40,"C Llull, 286",C Llull,286,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,8019,41.4052491680968,2.20793076148645
41,"C Mallorca, 603",C Mallorca,603,el Camp de l'Arpa del Clot,Sant Martí,8026,41.4116318961976,2.18667570379573
42,"C Badajoz, 86",C Badajoz,86,el Poblenou,Sant Martí,8005,41.3986052488603,2.19554795161507
43,"Pg Picasso, 7",Pg Picasso,7,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,8003,41.387591231,2.18359140048353
44,"C Marquesa, 8",C Marquesa,8,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,8003,41.383500665742,2.18550884654142
45,"C Bon Pastor, 11",C Bon Pastor,11,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,8021,41.3948973867927,2.15041526641286
46,"C Balmes, 110",C Balmes,110,la Dreta de l'Eixample,Eixample,8008,41.3926113217632,2.15843058718886
47,"C Comte Borrell, 243",C Comte Borrell,243,la Nova Esquerra de l'Eixample,Eixample,8029,41.3868327346722,2.1499930899921
48,"G.V. Corts Catalanes, 521",G.V. Corts Catalanes,521,la Nova Esquerra de l'Eixample,Eixample,8015,41.3820998568946,2.1581208569571
49,"Av Mare de Déu de Montserrat, 243",Av Mare de Déu de Montserrat,243,el Guinardó,Horta-Guinardó,8041,41.4232842455632,2.17523152000553
50,"Pl Fort Pienc, 5",Pl Fort Pienc,5,el Fort Pienc,Eixample,8013,41.3954381475854,2.18210167355622
51,"C Gerard Piera, 3",C Gerard Piera,3,les Corts,Les Corts,8028,41.3824327876671,2.12913031539494
52,"C Sabino Arana, 25",C Sabino Arana,25,la Maternitat i Sant Ramon,Les Corts,8028,41.3856321096719,2.12403685993086
53,"C Salvador Espriu, 91",C Salvador Espriu,91,la Vila Olímpica del Poblenou,Sant Martí,8005,41.3930572456797,2.20253883137231
54,"C Garcilaso, 62",C Garcilaso,62,la Sagrera,Sant Andreu,8027,41.4230726955469,2.18736683583182
55,"Pl Osca, 7",Pl Osca,7,Sants,Sants-Montjuïc,8014,41.375952368546,2.13866168875956
56,"C Fèlix Amat, 10",C Fèlix Amat,10,Sant Andreu,Sant Andreu,8030,41.443696441957,2.19060653229655
57,"C Pacífic, 8",C Pacífic,8,la Sagrera,Sant Andreu,8027,41.425769535351,2.19091271406748
58,"Pg Picasso, 5",Pg Picasso,5,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,8003,41.3879273877359,2.18316998811816
59,"Pg Sant Joan, 2",Pg Sant Joan,2,el Fort Pienc,Eixample,8010,41.391427465589,2.18003453647713
60,"C Sardenya, 33",C Sardenya,33,la Vila Olímpica del Poblenou,Sant Martí,8005,41.39107029206,2.18972402111185
61,"C Marina, 23",C Marina,23,la Vila Olímpica del Poblenou,Sant Martí,8005,41.3883898470789,2.19512216372725
62,"C Pou de la Figuera, 1",C Pou de la Figuera,1,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,8003,41.3874294254895,2.17981257772773
63,"C Sardenya, 509",C Sardenya,509,el Camp d'en Grassot i Gràcia Nova,Gràcia,8024,41.4108276425638,2.16361401476023
64,"C Ramon Turró, 3",C Ramon Turró,3,la Vila Olímpica del Poblenou,Sant Martí,8005,41.3903561156076,2.19030166946708
65,"C Marquès de Campo Sagrado, 2",C Marquès de Campo Sagrado,2,Sant Antoni,Eixample,8015,41.3753728499741,2.16346061177282
66,"Camí Foixarda, 28",Camí Foixarda,28,el Poble-sec,Sants-Montjuïc,8038,41.3658542806838,2.14599710946135
67,"Av Diagonal, 603",Av Diagonal,603,les Corts,Les Corts,8028,41.3885231879547,2.12991397237015
68,"Av Josep Tarradellas, 20",Av Josep Tarradellas,20,la Nova Esquerra de l'Eixample,Eixample,8029,41.3826187509157,2.1427184754951
69,"C Àvila, 47",C Àvila,47,la Vila Olímpica del Poblenou,Sant Martí,8005,41.396161912868,2.1962667471338
70,"C Bilbao, 133",C Bilbao,133,el Poblenou,Sant Martí,8018,41.405852330958,2.19934328661042
71,"C Bolívia, 12",C Bolívia,12,el Parc i la Llacuna del Poblenou,Sant Martí,8018,41.401008132737,2.18864978170873
72,"C Bolívia, 45",C Bolívia,45,el Parc i la Llacuna del Poblenou,Sant Martí,8018,41.40272165363,2.19070972284989
73,"C Bolívia, 124",C Bolívia,124,Provençals del Poblenou,Sant Martí,8018,41.4060252108297,2.19532418361094
74,"C Bilbao, 86",C Bilbao,86,el Poblenou,Sant Martí,8005,41.4051636306652,2.20091570661724
75,"C Independència, 230",C Independència,230,el Clot,Sant Martí,8026,41.4058648081831,2.18603056718917
76,"C Pujades, 74",C Pujades,74,el Parc i la Llacuna del Poblenou,Sant Martí,8005,41.3953158162245,2.19239183265453
77,"C Montalegre, 4",C Montalegre,4,el Raval,Ciutat Vella,8001,41.3836709342438,2.16718891230598
78,"C Sardenya, 294",C Sardenya,294,la Sagrada Família,Eixample,8013,41.4019466345126,2.17533105920901
79,"G.V. Corts Catalanes, 381",G.V. Corts Catalanes,381,la Nova Esquerra de l'Eixample,Eixample,8015,41.3760994673694,2.15026493224452
80,"C Comte Borrell, 307",C Comte Borrell,307,la Nova Esquerra de l'Eixample,Eixample,8029,41.3896935642703,2.14632400258692
81,"C Garcilaso, 181",C Garcilaso,181,el Congrés i els Indians,Sant Andreu,8027,41.4233770980064,2.18094218104336
82,"C Llacuna, 129",C Llacuna,129,el Parc i la Llacuna del Poblenou,Sant Martí,8018,41.4045390138032,2.1942928606876
83,"C Rogent, 73",C Rogent,73,el Camp de l'Arpa del Clot,Sant Martí,8026,41.4116444388775,2.18145630306734
84,"C Diputació, 118",C Diputació,118,la Nova Esquerra de l'Eixample,Eixample,8015,41.3818963344664,2.15587592712051
85,"Pl Vila de Gràcia, 17",Pl Vila de Gràcia,17,la Vila de Gràcia,Gràcia,8012,41.4001503945906,2.1573944429221
86,"Trav Gràcia, 152",Trav Gràcia,152,la Vila de Gràcia,Gràcia,8012,41.4009344724995,2.15729385089907
87,"Pl Sol, 24",Pl Sol,24,la Vila de Gràcia,Gràcia,8012,41.4018306059734,2.15676473910242
88,"C Gran de Gràcia, 89",C Gran de Gràcia,89,la Vila de Gràcia,Gràcia,8012,41.4006556816208,2.1544341459996
89,"C Teide, 13",C Teide,13,el Turó de la Peira,Nou Barris,8031,41.4308336552034,2.16876847352913
90,"Pl Pau Vila, 11",Pl Pau Vila,11,la Barceloneta,Ciutat Vella,8003,41.3822260350427,2.18480323718602
91,"C Baluard, 38",C Baluard,38,la Barceloneta,Ciutat Vella,8003,41.3800707402532,2.18901165914618
92,"Pl Josep Andreu i Abelló, 4",Pl Josep Andreu i Abelló,4,la Trinitat Vella,Sant Andreu,8033,41.4480459278813,2.19063402356317
93,"Pg Torras i Bages, 108",Pg Torras i Bages,108,Sant Andreu,Sant Andreu,8030,41.4419439473634,2.19098315009768
